file_path,file_name,section,module,file_format,size_kb,word_count,line_count,n_commits,days_shared,days_since_update
Cliff Notes Module 06/HW6_Cliff_Notes.txt,HW6_Cliff_Notes.txt,Cliff Notes,6,txt,5.3,757,138,4,36,7
Cliff Notes Module 06/Pandas_DataFrame_Columns_CliffNotes.txt,Pandas_DataFrame_Columns_CliffNotes.txt,Cliff Notes,6,txt,3.0,457,58,5,39,7
Cliff Notes Module 06/Pandas_DataFrames_Intro_CliffNotes.txt,Pandas_DataFrames_Intro_CliffNotes.txt,Cliff Notes,6,txt,1.8,271,36,5,39,7
Cliff Notes Module 06/Pandas_Series_CliffNotes.txt,Pandas_Series_CliffNotes.txt,Cliff Notes,6,txt,2.2,346,45,5,39,7
Cliff Notes Module 06/Visualizing_Random_Number_Generation_CliffNotes.txt,Visualizing_Random_Number_Generation_CliffNotes.txt,Cliff Notes,6,txt,3.6,492,75,4,36,7
Cliff Notes Module 07/Module-7_Advanced_Grouping_and_Aggregation Cliff Notes.txt,Module-7_Advanced_Grouping_and_Aggregation Cliff Notes.txt,Cliff Notes,7,txt,8.1,1260,175,4,31,7
Cliff Notes Module 07/Pandas_Concat_CliffNotes.txt,Pandas_Concat_CliffNotes.txt,Cliff Notes,7,txt,6.8,1078,112,4,32,7
Cliff Notes Module 07/Pandas_Missing_Values_EDA_CliffNotes.txt,Pandas_Missing_Values_EDA_CliffNotes.txt,Cliff Notes,7,txt,6.3,949,110,4,32,7
Cliff Notes Module 07/Pandas_Summary_DataFrame_CliffNotes.txt,Pandas_Summary_DataFrame_CliffNotes.txt,Cliff Notes,7,txt,5.6,843,94,4,32,7
Cliff Notes Module 07/Pandas_Summary_Series_CliffNotes.txt,Pandas_Summary_Series_CliffNotes.txt,Cliff Notes,7,txt,4.9,771,89,4,32,7
Cliff Notes Module 07/intro_grouping_aggregation.txt,intro_grouping_aggregation.txt,Cliff Notes,7,txt,3.1,428,48,5,31,7
Cliff Notes Module 08/Bar Charts for One Categorical Variable.md,Bar Charts for One Categorical Variable.md,Cliff Notes,8,md,3.7,512,80,3,23,7
Cliff Notes Module 08/Categorical-to-Continuous Relationships Boxplots.md,Categorical-to-Continuous Relationships Boxplots.md,Cliff Notes,8,md,4.7,693,74,3,23,7
Cliff Notes Module 08/Histograms for One Continuous Variable.md,Histograms for One Continuous Variable.md,Cliff Notes,8,md,3.8,528,82,3,23,7
